=== 2020年3月-8月 ATR和ma250检查 ===
日期        收盘价    ma250     ATR     ATR空?   ma250空?
------------------------------------------------------------
2020-03-02     8.68     8.78   0.5785        否          否
2020-03-03     8.95     8.77   0.5650        否          否
2020-03-04     8.88     8.77   0.5530        否          否
2020-03-05     9.32     8.77   0.5575        否          否
2020-03-06     9.42     8.77   0.5645        否          否
2020-03-09     9.22     8.77   0.5775        否          否
2020-03-10     9.32     8.76   0.5975        否          否
2020-03-11     9.56     8.76   0.5805        否          否
2020-03-12     9.28     8.75   0.5840        否          否
2020-03-13     9.03     8.74   0.5980        否          否
2020-03-16     8.24     8.73   0.6280        否          否
2020-03-17     8.11     8.71   0.6265        否          否
2020-03-18     7.80     8.70   0.6250        否          否
2020-03-19     7.92     8.68   0.5970        否          否
2020-03-20     8.01     8.67   0.5665        否          否
2020-03-23     7.71     8.65   0.5645        否          否
2020-03-24     7.85     8.64   0.5390        否          否
2020-03-25     8.05     8.63   0.4965        否          否
2020-03-26     7.82     8.61   0.4870        否          否
2020-03-27     7.74     8.60   0.4685        否          否
2020-03-30     7.53     8.58   0.4705        否          否
2020-03-31     7.44     8.57   0.4540        否          否
2020-04-01     7.42     8.55   0.4455        否          否
2020-04-02     7.57     8.54   0.4335        否          否
2020-04-03     7.57     8.53   0.4240        否          否
2020-04-07     7.74     8.51   0.3960        否          否
2020-04-08     7.85     8.50   0.3650        否          否
2020-04-09     7.89     8.49   0.3425        否          否
2020-04-10     7.68     8.48   0.3345        否          否
2020-04-13     7.56     8.46   0.3125        否          否
2020-04-14     7.75     8.45   0.2755        否          否
2020-04-15     7.60     8.43   0.2530        否          否
2020-04-16     7.59     8.42   0.2415        否          否
2020-04-17     7.53     8.41   0.2305        否          否
2020-04-20     7.50     8.39   0.2280        否          否
2020-04-21     7.33     8.38   0.2215        否          否
2020-04-22     7.40     8.37   0.2140        否          否
2020-04-23     7.31     8.35   0.2085        否          否
2020-04-24     7.24     8.34   0.2080        否          否
2020-04-27     7.27     8.32   0.2005        否          否
2020-04-28     7.40     8.31   0.2090        否          否
2020-04-29     7.26     8.29   0.2085        否          否
2020-04-30     7.41     8.28   0.2090        否          否
2020-05-06     7.47     8.26   0.2075        否          否
2020-05-07     7.38     8.25   0.1985        否          否
2020-05-08     7.54     8.24   0.1985        否          否
2020-05-11     7.43     8.23   0.2005        否          否
2020-05-12     7.40     8.22   0.2070        否          否
2020-05-13     7.70     8.21   0.2305        否          否
2020-05-14     7.52     8.21   0.2310        否          否
2020-05-15     7.47     8.20   0.2315        否          否
2020-05-18     7.34     8.20   0.2295        否          否
2020-05-19     7.40     8.19   0.2240        否          否
2020-05-20     7.32     8.18   0.2225        否          否
2020-05-21     7.28     8.18   0.2200        否          否
2020-05-22     7.15     8.17   0.2170        否          否
2020-05-25     7.53     8.16   0.2305        否          否
2020-05-26     7.49     8.16   0.2365        否          否
2020-05-27     7.52     8.15   0.2330        否          否
2020-05-28     7.47     8.15   0.2370        否          否
2020-05-29     7.51     8.14   0.2145        否          否
2020-06-01     7.64     8.14   0.2140        否          否
2020-06-02     7.65     8.13   0.2115        否          否
2020-06-03     7.52     8.13   0.2095        否          否
2020-06-04     7.64     8.13   0.2155        否          否
2020-06-05     7.62     8.12   0.2170        否          否
2020-06-08     7.58     8.12   0.2110        否          否
2020-06-09     7.62     8.11   0.2035        否          否
2020-06-10     7.53     8.11   0.1755        否          否
2020-06-11     7.58     8.10   0.1730        否          否
2020-06-12     7.49     8.10   0.1770        否          否
2020-06-15     7.67     8.09   0.1895        否          否
2020-06-16     7.86     8.09   0.1960        否          否
2020-06-17     8.02     8.09   0.2210        否          否
2020-06-18     7.84     8.09   0.2260        否          否
2020-06-19     7.75     8.08   0.2240        否          否
2020-06-22     7.93     8.08   0.2250        否          否
2020-06-23     7.87     8.08   0.2190        否          否
2020-06-24     7.80     8.08   0.2185        否          否
2020-06-29     7.62     8.07   0.2200        否          否
2020-06-30     7.67     8.07   0.2220        否          否
