datetime,open,close,high,low,volume,ma120
2021-02-18,5922.07,5768.38,5930.91,5747.66,218848686,
2021-02-19,5734.02,5778.84,5787.89,5667.32,214475781,
2021-02-22,5785.51,5597.33,5785.51,5597.33,282124383,
2021-02-23,5542.68,5579.67,5644.76,5541.11,233807726,
2021-02-24,5591.48,5437.57,5598.83,5379.73,225428611,
2021-02-25,5494.47,5469.56,5527.63,5444.16,230736028,
2021-02-26,5343.9,5336.76,5416.32,5318.86,212264543,
2021-03-01,5389.25,5418.78,5421.56,5345.94,177463524,
2021-03-02,5453.28,5349.63,5454.97,5305.05,196511114,
2021-03-03,5327.35,5452.21,5452.4,5316.48,194709053,
2021-03-04,5388.48,5280.71,5392.37,5254.78,212775212,
2021-03-05,5191.97,5262.8,5307.82,5174.25,202627955,
2021-03-08,5299.79,5080.02,5326.26,5079.8,230231634,
2021-03-09,5066.15,4971.0,5094.31,4917.91,230711004,
2021-03-10,5047.06,5003.61,5055.28,4981.62,169928489,
2021-03-11,5024.56,5128.22,5138.41,5020.58,189600765,
2021-03-12,5153.67,5146.38,5153.67,5086.82,201020590,
2021-03-15,5116.12,5035.54,5120.88,4992.4,204153083,
2021-03-16,5054.41,5079.36,5084.31,5009.95,161390054,
2021-03-17,5062.77,5100.86,5123.55,5020.13,149162376,
2021-03-18,5114.59,5141.77,5160.46,5111.13,142901519,
2021-03-19,5068.53,5007.09,5089.92,4980.76,164174848,
2021-03-22,5008.4,5057.15,5071.34,4996.54,167402632,
2021-03-23,5057.06,5009.25,5064.02,4966.53,158013967,
2021-03-24,4985.4,4928.69,5024.33,4919.89,159385981,
2021-03-25,4904.07,4926.35,4950.76,4883.66,132945188,
2021-03-26,4953.95,5037.99,5050.83,4953.95,145926697,
2021-03-29,5052.26,5046.88,5086.65,5010.39,143388216,
2021-03-30,5043.1,5094.73,5106.04,5032.8,138618560,
2021-03-31,5085.95,5048.36,5085.95,5015.61,141335744,
2021-04-01,5059.94,5110.78,5115.43,5056.87,120324890,
2021-04-02,5129.85,5161.56,5169.83,5116.35,127002255,
2021-04-06,5178.64,5140.34,5181.15,5125.33,109834209,
2021-04-07,5141.66,5103.74,5141.66,5065.19,145763748,
2021-04-08,5078.26,5112.21,5129.13,5062.07,141771046,
